IP地址,已发送,已接收,丢包率,平均延迟,下载速度(MB/s),地区码
104.17.143.47,4,4,0.00,158.90,73.50,SJC
104.17.142.42,4,4,0.00,161.10,72.11,SJC
104.17.156.220,4,4,0.00,159.52,71.86,SJC
108.162.198.177,4,4,0.00,162.24,71.33,SJC
104.17.153.117,4,4,0.00,160.39,70.41,SJC
104.17.128.27,4,4,0.00,157.86,68.36,SJC
104.17.154.63,4,4,0.00,161.38,67.43,SJC
104.17.132.57,4,4,0.00,163.71,67.09,SJC
104.17.136.166,4,4,0.00,163.91,60.87,SJC
104.17.131.247,4,4,0.00,164.10,56.69,SJC
190.93.244.221,4,4,0.00,175.66,56.59,LAX
104.21.204.69,4,4,0.00,199.21,55.54,LAX
104.18.176.201,4,4,0.00,199.58,51.95,LAX
198.41.222.62,4,4,0.00,193.14,51.83,LAX
104.24.77.178,4,4,0.00,194.79,51.05,LAX
104.21.82.121,4,4,0.00,191.51,47.86,LAX
104.17.43.190,4,4,0.00,198.48,45.39,LAX
172.64.86.28,4,4,0.00,199.80,42.61,LAX
104.21.95.145,4,4,0.00,197.88,39.52,LAX
104.17.23.84,4,4,0.00,197.82,29.76,LAX
104.21.89.116,4,4,0.00,185.23,28.40,LAX
104.27.110.72,4,4,0.00,194.43,25.58,LAX
188.114.98.6,4,4,0.00,199.69,21.86,LAX
104.17.176.70,4,4,0.00,198.00,21.57,LAX
104.16.251.161,4,4,0.00,191.81,20.91,LAX
198.41.192.0,4,4,0.00,199.44,19.98,LAX
188.114.99.56,4,4,0.00,176.56,19.93,LAX
141.101.115.111,4,4,0.00,199.92,19.64,LAX
104.17.159.183,4,4,0.00,182.63,18.62,SJC
104.17.147.148,4,4,0.00,198.26,16.99,SJC
198.41.203.45,4,4,0.00,175.00,15.18,LAX
104.25.55.28,4,4,0.00,197.14,13.99,LAX
172.64.52.219,4,4,0.00,199.87,11.63,LAX
104.21.1.102,4,4,0.00,199.15,11.43,LAX
188.114.96.52,4,4,0.00,176.36,10.64,LAX
104.17.139.74,4,4,0.00,197.92,10.46,SJC
173.245.49.187,4,4,0.00,199.70,10.41,LAX
104.21.27.146,4,4,0.00,192.81,8.28,LAX
198.41.204.76,4,4,0.00,179.81,7.74,LAX
104.19.144.146,4,4,0.00,199.25,6.61,LAX
104.16.240.19,4,4,0.00,195.18,5.28,LAX
104.27.57.222,4,4,0.00,179.67,3.79,LAX
141.101.123.188,4,4,0.00,178.53,3.72,LAX
104.19.55.27,4,4,0.00,199.88,2.41,LAX
IP 地址,已发送,已接收,丢包率,平均延迟,下载速度(MB/s),地区码
104.21.99.225,4,4,0.00,158.85,30.53,LAX
104.18.255.25,4,4,0.00,158.94,29.03,LAX
104.24.18.1,4,4,0.00,158.86,28.87,LAX
104.21.72.130,4,4,0.00,158.18,28.69,LAX
172.67.194.239,4,4,0.00,158.60,28.58,LAX
104.24.53.33,4,4,0.00,158.07,27.70,LAX
104.17.73.132,4,4,0.00,159.05,27.41,LAX
104.27.12.120,4,4,0.00,158.93,27.34,LAX
162.159.146.7,4,4,0.00,158.87,27.08,LAX
104.24.10.180,4,4,0.00,159.17,25.53,LAX
104.19.246.125,4,3,0.25,163.05,0.00,N/A
104.19.101.217,4,4,0.00,165.97,0.00,N/A
162.159.153.238,4,4,0.00,159.29,0.00,N/A
172.65.208.221,4,4,0.00,159.35,0.00,N/A
104.21.71.57,4,4,0.00,159.37,0.00,N/A
104.27.109.220,4,4,0.00,159.43,0.00,N/A
172.64.50.200,4,4,0.00,159.52,0.00,N/A
172.64.75.97,4,4,0.00,159.53,0.00,N/A
104.24.182.68,4,4,0.00,159.64,0.00,N/A
104.24.56.190,4,4,0.00,159.71,0.00,N/A
104.21.114.27,4,4,0.00,159.92,0.00,N/A
162.159.27.92,4,4,0.00,159.99,0.00,N/A
104.17.202.254,4,4,0.00,160.05,0.00,N/A
172.64.97.36,4,4,0.00,160.05,0.00,N/A
172.66.45.114,4,4,0.00,160.07,0.00,N/A
104.24.193.32,4,4,0.00,160.09,0.00,N/A
104.27.44.86,4,4,0.00,160.18,0.00,N/A
162.159.91.144,4,4,0.00,160.22,0.00,N/A
104.19.80.41,4,4,0.00,160.23,0.00,N/A
104.24.218.122,4,4,0.00,160.25,0.00,N/A
104.24.55.134,4,4,0.00,160.37,0.00,N/A
198.41.214.169,4,4,0.00,160.49,0.00,N/A
162.159.149.100,4,4,0.00,160.53,0.00,N/A
162.159.152.80,4,4,0.00,160.53,0.00,N/A
104.24.66.49,4,4,0.00,160.58,0.00,N/A
172.64.82.171,4,4,0.00,160.66,0.00,N/A
104.27.108.202,4,4,0.00,160.67,0.00,N/A
104.25.222.163,4,4,0.00,160.70,0.00,N/A
104.24.128.160,4,4,0.00,160.72,0.00,N/A
172.66.0.239,4,4,0.00,160.93,0.00,N/A
104.21.30.232,4,4,0.00,160.98,0.00,N/A
104.25.32.49,4,4,0.00,161.06,0.00,N/A
104.18.183.41,4,4,0.00,161.06,0.00,N/A
104.21.16.237,4,4,0.00,161.09,0.00,N/A
104.25.54.1,4,4,0.00,161.12,0.00,N/A
172.65.201.7,4,4,0.00,161.19,0.00,N/A
172.64.66.54,4,4,0.00,161.19,0.00,N/A
162.159.61.174,4,4,0.00,161.23,0.00,N/A
104.17.117.123,4,4,0.00,161.26,0.00,N/A
172.64.42.204,4,4,0.00,161.31,0.00,N/A
104.25.155.82,4,4,0.00,161.32,0.00,N/A
104.21.9.84,4,4,0.00,161.37,0.00,N/A
162.159.43.189,4,4,0.00,161.41,0.00,N/A
162.159.95.112,4,4,0.00,161.42,0.00,N/A
104.21.18.134,4,4,0.00,161.48,0.00,N/A
104.25.58.241,4,4,0.00,161.51,0.00,N/A
104.16.40.222,4,4,0.00,161.53,0.00,N/A
104.18.26.164,4,4,0.00,161.56,0.00,N/A
172.65.173.87,4,4,0.00,161.60,0.00,N/A
104.17.220.251,4,4,0.00,161.61,0.00,N/A
162.159.251.89,4,4,0.00,161.78,0.00,N/A
104.27.22.91,4,4,0.00,161.82,0.00,N/A
162.159.158.124,4,4,0.00,161.85,0.00,N/A
104.18.229.155,4,4,0.00,161.87,0.00,N/A
172.65.196.191,4,4,0.00,161.93,0.00,N/A
172.65.94.55,4,4,0.00,161.96,0.00,N/A
104.24.130.95,4,4,0.00,161.96,0.00,N/A
198.41.223.78,4,4,0.00,161.96,0.00,N/A
104.16.38.54,4,4,0.00,161.97,0.00,N/A
172.64.100.34,4,4,0.00,162.00,0.00,N/A
104.24.95.238,4,4,0.00,162.00,0.00,N/A
104.24.74.189,4,4,0.00,162.08,0.00,N/A
104.20.12.129,4,4,0.00,162.09,0.00,N/A
104.27.56.63,4,4,0.00,162.10,0.00,N/A
104.24.69.222,4,4,0.00,162.14,0.00,N/A
172.64.88.60,4,4,0.00,162.15,0.00,N/A
104.21.211.183,4,4,0.00,162.16,0.00,N/A
104.21.108.79,4,4,0.00,162.25,0.00,N/A
104.16.145.62,4,4,0.00,162.26,0.00,N/A
104.24.30.106,4,4,0.00,162.30,0.00,N/A
162.159.150.147,4,4,0.00,162.37,0.00,N/A
104.17.224.241,4,4,0.00,162.40,0.00,N/A
172.64.146.158,4,4,0.00,162.40,0.00,N/A
172.64.76.10,4,4,0.00,162.41,0.00,N/A
172.64.36.232,4,4,0.00,162.42,0.00,N/A
104.24.44.70,4,4,0.00,162.45,0.00,N/A
172.65.175.18,4,4,0.00,162.49,0.00,N/A
162.159.38.156,4,4,0.00,162.51,0.00,N/A
172.65.24.47,4,4,0.00,162.59,0.00,N/A
172.65.54.97,4,4,0.00,162.65,0.00,N/A
104.21.93.21,4,4,0.00,162.66,0.00,N/A
162.159.235.195,4,4,0.00,162.71,0.00,N/A
172.66.150.98,4,4,0.00,162.73,0.00,N/A
172.64.69.61,4,4,0.00,162.77,0.00,N/A
104.17.190.154,4,4,0.00,162.78,0.00,N/A
198.41.193.117,4,4,0.00,162.78,0.00,N/A
104.21.112.73,4,4,0.00,162.79,0.00,N/A
104.21.21.99,4,4,0.00,162.84,0.00,N/A
172.65.31.152,4,4,0.00,162.84,0.00,N/A
172.67.225.52,4,4,0.00,162.85,0.00,N/A
104.20.9.117,4,4,0.00,162.88,0.00,N/A
162.159.145.78,4,4,0.00,162.89,0.00,N/A
162.159.138.66,4,4,0.00,162.91,0.00,N/A
104.19.237.17,4,4,0.00,162.95,0.00,N/A
162.159.40.200,4,4,0.00,162.97,0.00,N/A
104.18.220.110,4,4,0.00,162.99,0.00,N/A
104.25.164.90,4,4,0.00,163.03,0.00,N/A
172.66.135.10,4,4,0.00,163.06,0.00,N/A
198.41.205.158,4,4,0.00,163.06,0.00,N/A
162.159.159.150,4,4,0.00,163.06,0.00,N/A
104.18.163.208,4,4,0.00,163.07,0.00,N/A
172.66.196.150,4,4,0.00,163.09,0.00,N/A
104.16.94.224,4,4,0.00,163.10,0.00,N/A
104.21.85.61,4,4,0.00,163.13,0.00,N/A
104.18.80.219,4,4,0.00,163.14,0.00,N/A
104.27.196.12,4,4,0.00,163.15,0.00,N/A
104.24.129.112,4,4,0.00,163.15,0.00,N/A
104.21.19.128,4,4,0.00,163.17,0.00,N/A
172.67.203.48,4,4,0.00,163.20,0.00,N/A
172.65.82.132,4,4,0.00,163.21,0.00,N/A
104.25.159.162,4,4,0.00,163.21,0.00,N/A
104.24.146.230,4,4,0.00,163.27,0.00,N/A
104.21.57.78,4,4,0.00,163.27,0.00,N/A
172.67.201.230,4,4,0.00,163.29,0.00,N/A
104.24.25.46,4,4,0.00,163.35,0.00,N/A
104.18.212.219,4,4,0.00,163.37,0.00,N/A
104.25.160.150,4,4,0.00,163.39,0.00,N/A
104.19.1.238,4,4,0.00,163.44,0.00,N/A
104.25.146.70,4,4,0.00,163.44,0.00,N/A
172.64.67.57,4,4,0.00,163.44,0.00,N/A
162.159.131.239,4,4,0.00,163.45,0.00,N/A
172.65.92.10,4,4,0.00,163.46,0.00,N/A
104.18.154.95,4,4,0.00,163.47,0.00,N/A
104.21.56.224,4,4,0.00,163.48,0.00,N/A
104.27.94.156,4,4,0.00,163.48,0.00,N/A
172.67.216.39,4,4,0.00,163.48,0.00,N/A
162.159.199.5,4,4,0.00,163.48,0.00,N/A
104.27.60.88,4,4,0.00,163.51,0.00,N/A
104.18.227.8,4,4,0.00,163.52,0.00,N/A
104.24.155.253,4,4,0.00,163.53,0.00,N/A
172.66.147.207,4,4,0.00,163.53,0.00,N/A
172.64.184.23,4,4,0.00,163.54,0.00,N/A
104.24.62.173,4,4,0.00,163.55,0.00,N/A
172.67.209.233,4,4,0.00,163.62,0.00,N/A
104.27.25.31,4,4,0.00,163.64,0.00,N/A
104.21.27.109,4,4,0.00,163.64,0.00,N/A
172.65.85.28,4,4,0.00,163.65,0.00,N/A
104.25.56.5,4,4,0.00,163.65,0.00,N/A
172.67.210.11,4,4,0.00,163.70,0.00,N/A
172.67.214.133,4,4,0.00,163.72,0.00,N/A
104.21.65.236,4,4,0.00,163.74,0.00,N/A
104.16.124.59,4,4,0.00,163.75,0.00,N/A
104.18.4.143,4,4,0.00,163.77,0.00,N/A
104.27.47.48,4,4,0.00,163.82,0.00,N/A
172.65.75.220,4,4,0.00,163.86,0.00,N/A
